batch_id,fee_amount,idempotency_key,net_settled_amount_minor_units,processing_date,settled_amount,settlement_id,settlement_status,transaction_reference,value_date
BATCH_202605_038,0.61,idk_6fff8a2d3316,20284,2026-05-06T04:50:00+00:00,203.45,3b13d8c6-bd89-44c4-a3cf-c6b3e0da1e23,settled,cb382729-fbbc-48f8-86cd-888ad9aec8af,2026-05-06T04:50:00+00:00
BATCH_202605_018,1.51,idk_33bcd7f07584,50228,2026-05-24T12:41:00+00:00,503.79,32e80d1b-0751-495f-b5cd-923da80416be,settled,923285d5-fbfd-4199-a394-d3a2aa15f7c6,2026-05-24T12:41:00+00:00
BATCH_202605_023,61.3,idk_b4a527c349f7,2037229,2026-05-08T08:13:00+00:00,20433.59,a882a921-acb8-4f65-9dfb-204be9020028,settled,0fdb777a-49a0-40b2-bf81-2bf1cbda04b2,2026-05-08T08:13:00+00:00
BATCH_202605_024,7.14,idk_7bbcbe212e15,237131,2026-05-05T04:42:00+00:00,2378.45,273e4eec-55ae-4316-87c7-8b7752b3ed02,settled,4c3b3e55-5595-450f-bc37-8721119119bd,2026-05-05T04:42:00+00:00
BATCH_202605_018,2.01,idk_b0d0ea708b6c,66904,2026-05-26T05:01:00+00:00,671.05,738f32dd-2a51-49d8-aec4-20f6bc9c3c93,settled,7f4f39d4-f8a7-4697-9963-d707197f6450,2026-05-26T05:01:00+00:00
BATCH_202605_039,2.59,idk_37533a0f5b7d,86197,2026-05-08T08:51:00+00:00,864.56,7eade6fa-453d-41cf-89b4-cbf7dc027fc5,settled,f3c53f5e-1db7-44d4-9123-5b8796a90285,2026-05-08T08:51:00+00:00
BATCH_202605_050,1.6,idk_bc1bab51e15e,53040,2026-05-14T06:51:00+00:00,532.0,0d7fb3a7-4805-4339-996c-48a0ee603708,settled,9fad941b-cb8a-4a4f-9b0c-35d69025eb7d,2026-05-14T06:51:00+00:00
BATCH_202605_042,34.72,idk_7bbce06d121e,1153785,2026-05-31T08:20:00+00:00,11572.57,9156fea6-f762-40b3-a10d-712236e60a3d,settled,4eb3bdac-e973-4aeb-b056-bcbfe7865b16,2026-05-31T08:20:00+00:00
BATCH_202605_024,0.98,idk_f670d90b41ef,32482,2026-05-19T06:44:00+00:00,325.8,9d3d7d8a-6165-40e9-8488-5216e8526af1,settled,6cef1344-d0ad-4bd4-bc88-bce2f23fd3bd,2026-05-19T06:44:00+00:00
BATCH_202605_030,0.36,idk_a4ebea00db56,11834,2026-05-23T10:11:00+00:00,118.7,abb5451c-9142-4e27-86d0-4aecae59aa43,settled,c2804a4a-8521-4f6d-ba3b-29446997d7c8,2026-05-23T10:11:00+00:00
BATCH_202605_001,2.57,idk_6f00cd195fea,85422,2026-05-26T08:14:00+00:00,856.79,c31f37fe-5061-480c-9195-90a1ceb4567b,settled,5f9b8ac1-b077-4c39-8f32-58bf21447f5c,2026-05-26T08:14:00+00:00
